Fecha,Imagen,44650,44649,44648,44647,44646,44645,44644,44643,44642,44641,44640,44639,44638,44637,44636,44635,44634,44633,44632,44631,44630,44629,44628,44627,44626,44625,44624,44623,44622,44621,44620,44619,44618,44617,44616,44615,44614,44613,44612,44611,44610,44609,44608,44607,44606,44605,44604,44603,44602,44601,44600,44599,44598,44597,44596,44595,44594,44593,44592,44591
Profundo,https://www.pngplay.com/wp-content/uploads/6/Dumbbells-Icon-PNG-Clipart-Background.png,"1,55","1,85","1,25","1,49","0,8",1,"1,95","1,3","1,2","1,6","1,2","1,6","1,6","0,95","1,35","1,2","0,98","1,8",1,"1,2","1,55","1,1","1,16","0,9",1,"2,3","1,4","1,15","1,3","1,5","2,1","1,3",1,"1,3","1,55","1,1","1,15","1,9","0,95","1,9","1,15","1,2","1,55","1,5","2,1","1,5","1,9","1,8","2,2",2,"1,5","3,8","0,95","1,9","1,8","2,35",2,"1,35","2,1","1,3"
Ligero,https://images.vexels.com/media/users/3/159288/isolated/preview/77a601fa03103a09ed5bce394a8ff971-ilustracion-de-plumas.png,"5,32","4,55","4,88","3,54","5,2","6,2","5,2","5,5","4,8","4,9","5,9","4,4","5,2","5,15",5,"5,2","5,75","5,7","3,55","4,9","4,9","5,3",4,"5,75","3,1","6,25","4,9","6,5",4,"5,2","4,4",4,"4,7","4,2","4,8","5,5","5,1","5,4","3,15",5,"4,5","3,5","4,9","5,2","4,4","4,9","5,5","5,7","5,3","3,8","5,2","5,2","3,15",5,"3,4","5,3","3,8","4,2","4,4","3,2"
REM,https://www.pngplay.com/wp-content/uploads/4/Eyes-Download-Free-PNG.png,"1,31","1,55","1,8",1,"1,78","1,1","1,63","1,22","1,4",1,"0,85","1,67","0,77","1,12","1,72","1,4","1,34","1,27","0,75","1,52","1,13","0,83","1,31","1,17","0,9","1,1","1,45","1,13","1,48","1,52","1,92","1,53","1,02","1,5","1,8","0,82","1,48","1,05","1,03","1,85","1,4","1,47","1,22","1,67","2,17","1,58","1,33","1,53","1,43","0,95","0,97","1,5","1,88","1,85","1,85","1,35","0,95","1,57","1,92","0,93"
Despierto,,0,"0,25",0,0,0,"0,03",0,0,0,0,0,0,"0,1",0,"0,33",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,05",0,0,"0,27",0,"0,83",0,0,0,"0,02",0,0,0,0,0,0,0,0,"0,3",0,0,"0,08",0,0,0,0,0,0,"0,08",0,0,"0,1"
Horas de sueño,https://images.twinkl.co.uk/tr/image/upload/t_illustration/illustation/Clock-7am.png,"8,18","7,95","7,93","6,03","7,78","8,33","8,78","8,02","7,4","7,5","7,95","7,67","7,67","7,22","8,4","7,75","8,07","8,77","5,3","7,62","7,58","7,23","6,47","7,82","6,32","9,65","7,75","8,78","6,83","8,22","8,42","7,1","6,72","7,83","8,15","7,42","7,73","8,37","5,13","8,75","7,05","6,17","7,67","8,37","8,67","7,98","9,03","9,03","8,93","6,83","7,67","10,5","5,98","8,75","7,05",9,"6,83","7,12","8,42","5,53"
